Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília
Rio de Janeiro,25,1,1,0,1,acept,furnished
São Paulo,80,3,2,2,6,acept,not furnished
Belo Horizonte,300,2,4,3,7,acept,furnished
São Paulo,680,4,5,8,-,acept,not furnished
São Paulo,252,4,5,5,18,acept,furnished
São Paulo,208,3,3,2,2,acept,furnished
Rio de Janeiro,36,1,1,0,7,acept,not furnished
Belo Horizonte,50,2,1,1,3,acept,not furnished
Rio de Janeiro,70,1,2,0,-,not acept,not furnished
Belo Horizonte,184,5,3,2,3,acept,not furnished
São Paulo,100,2,2,2,-,acept,not furnished
Porto Alegre,73,2,1,0,1,acept,furnished
Rio de Janeiro,140,3,2,1,5,acept,furnished
Rio de Janeiro,240,3,2,1,5,acept,furnished
São Paulo,60,2,1,1,2,acept,not furnished
São Paulo,170,3,3,2,9,acept,not furnished
Porto Alegre,59,2,1,1,4,acept,furnished
Rio de Janeiro,169,3,2,1,7,acept,not furnished
Campinas,58,1,2,2,2,acept,not furnished
Campinas,110,2,1,1,2,acept,not furnished
São Paulo,70,2,2,0,-,not acept,not furnished
Porto Alegre,27,1,1,0,2,acept,not furnished
São Paulo,200,3,2,3,3,acept,not furnished
Rio de Janeiro,180,3,2,2,10,not acept,not furnished
São Paulo,33,1,1,1,5,not acept,furnished
São Paulo,120,2,3,0,-,acept,not furnished
Porto Alegre,47,1,1,1,1,not acept,furnished
São Paulo,470,5,4,6,-,acept,not furnished
Campinas,277,3,4,4,-,acept,not furnished
Rio de Janeiro,71,3,2,0,1,not acept,not furnished
São Paulo,40,1,1,1,-,acept,not furnished
São Paulo,90,2,1,0,9,not acept,not furnished
São Paulo,244,3,4,2,-,acept,not furnished
Campinas,55,1,1,1,2,acept,not furnished
Campinas,92,3,2,2,13,acept,furnished
São Paulo,318,5,3,2,-,acept,furnished
Rio de Janeiro,74,3,1,0,-,acept,not furnished
São Paulo,60,2,2,1,7,acept,not furnished
Belo Horizonte,120,3,3,1,3,acept,furnished
São Paulo,30,1,1,1,18,not acept,not furnished
São Paulo,55,1,1,1,2,acept,furnished
Porto Alegre,38,1,1,0,5,acept,not furnished
Porto Alegre,55,3,1,0,-,not acept,not furnished
São Paulo,182,3,2,1,6,acept,not furnished
Rio de Janeiro,77,2,2,1,21,acept,not furnished
Campinas,160,3,1,4,-,not acept,not furnished
São Paulo,346,4,4,4,6,acept,not furnished
Rio de Janeiro,80,2,1,0,8,acept,not furnished
Campinas,88,3,2,2,1,acept,furnished
Rio de Janeiro,75,2,2,1,8,acept,not furnished
Rio de Janeiro,120,3,2,0,3,acept,not furnished
Rio de Janeiro,28,1,1,0,12,acept,not furnished
São Paulo,29,1,1,0,5,acept,furnished
Belo Horizonte,67,3,1,1,3,acept,not furnished
São Paulo,110,3,2,1,1,not acept,furnished
São Paulo,170,3,2,1,12,acept,furnished
São Paulo,80,2,2,1,-,not acept,not furnished
São Paulo,72,2,1,1,4,acept,not furnished
Belo Horizonte,76,1,2,2,6,acept,not furnished
Rio de Janeiro,126,2,2,1,2,acept,not furnished
São Paulo,150,1,2,2,24,acept,not furnished
Rio de Janeiro,40,1,1,0,9,acept,not furnished
São Paulo,84,3,2,3,8,not acept,not furnished
Rio de Janeiro,100,4,4,1,-,acept,furnished
São Paulo,209,3,3,0,4,acept,not furnished
Belo Horizonte,100,3,2,1,2,acept,not furnished
São Paulo,50,2,1,1,3,acept,not furnished
Campinas,110,3,3,2,-,acept,not furnished
Rio de Janeiro,23,1,1,0,4,not acept,not furnished
São Paulo,50,1,1,0,-,not acept,not furnished
São Paulo,68,1,2,1,11,acept,not furnished
Porto Alegre,86,2,1,0,-,acept,not furnished
São Paulo,57,2,2,1,8,acept,not furnished
Belo Horizonte,110,2,2,1,6,acept,not furnished
São Paulo,69,2,1,1,3,acept,not furnished
Campinas,48,1,1,1,1,not acept,not furnished
São Paulo,240,3,5,3,14,acept,furnished
Belo Horizonte,84,3,2,0,3,acept,not furnished
São Paulo,88,2,2,3,20,acept,furnished
São Paulo,270,3,2,2,15,acept,not furnished
Rio de Janeiro,66,2,1,1,5,acept,not furnished
Rio de Janeiro,81,3,1,1,7,acept,not furnished
São Paulo,184,4,3,3,2,acept,furnished
São Paulo,170,3,2,2,-,not acept,not furnished
São Paulo,500,3,5,2,11,acept,not furnished
São Paulo,200,3,4,3,18,acept,furnished
São Paulo,70,2,2,1,7,acept,not furnished
Belo Horizonte,155,4,5,3,15,acept,not furnished
São Paulo,100,3,1,0,-,acept,furnished
São Paulo,198,1,1,3,2,not acept,furnished
São Paulo,45,2,1,0,5,not acept,furnished
São Paulo,40,1,1,1,8,not acept,furnished
Porto Alegre,30,1,1,0,2,acept,furnished
São Paulo,44,1,1,1,5,acept,furnished
São Paulo,98,3,2,2,12,not acept,not furnished
Belo Horizonte,73,3,1,0,1,acept,not furnished
São Paulo,340,4,4,4,15,acept,furnished
Porto Alegre,101,3,2,0,3,acept,furnished
Rio de Janeiro,30,1,1,0,11,acept,not furnished
São Paulo,80,1,1,0,-,acept,not furnished
Rio de Janeiro,30,1,1,1,3,acept,not furnished
São Paulo,999,4,5,6,-,acept,not furnished
São Paulo,171,3,5,3,16,acept,not furnished
São Paulo,100,3,2,1,1,acept,not furnished
São Paulo,70,2,1,1,9,acept,not furnished
São Paulo,49,1,1,0,1,acept,furnished
Belo Horizonte,62,2,2,0,1,acept,not furnished
São Paulo,162,4,5,3,16,acept,not furnished
São Paulo,260,4,4,4,4,acept,not furnished
Rio de Janeiro,266,4,4,2,4,acept,not furnished
São Paulo,250,3,5,5,18,acept,furnished
São Paulo,124,3,3,2,2,not acept,not furnished
Belo Horizonte,57,3,1,1,4,acept,not furnished
São Paulo,218,3,4,2,6,not acept,not furnished
São Paulo,210,4,4,4,5,acept,not furnished
Porto Alegre,274,3,2,2,1,acept,not furnished
São Paulo,52,2,2,1,2,acept,furnished
São Paulo,254,4,6,5,14,not acept,furnished
São Paulo,147,3,3,3,13,acept,not furnished
Rio de Janeiro,78,2,2,1,2,acept,not furnished
São Paulo,60,2,2,0,-,acept,not furnished
Rio de Janeiro,130,3,2,0,6,acept,not furnished
São Paulo,50,1,1,1,21,acept,furnished
São Paulo,110,3,2,3,11,acept,not furnished
Rio de Janeiro,80,2,1,0,2,acept,not furnished
São Paulo,376,5,6,4,13,acept,not furnished
São Paulo,50,2,1,0,12,acept,not furnished
São Paulo,179,3,2,2,5,acept,not furnished
Campinas,163,3,5,3,20,acept,not furnished
Rio de Janeiro,110,3,1,1,8,acept,not furnished
São Paulo,330,6,4,3,-,acept,not furnished
São Paulo,35,1,1,0,18,acept,not furnished
Campinas,96,3,3,2,4,not acept,not furnished
Belo Horizonte,90,2,3,0,-,acept,not furnished
São Paulo,45,1,1,0,-,acept,not furnished
São Paulo,130,3,1,1,-,acept,not furnished
Rio de Janeiro,77,2,1,0,5,acept,not furnished
São Paulo,35,1,1,1,2,acept,not furnished
São Paulo,280,3,4,4,14,not acept,furnished
São Paulo,24606,5,4,4,12,acept,not furnished
Belo Horizonte,344,4,4,3,-,not acept,not furnished
Belo Horizonte,140,4,2,2,3,acept,not furnished
Belo Horizonte,95,3,4,1,9,acept,not furnished
Campinas,55,2,1,1,1,acept,not furnished
Campinas,54,1,2,0,1,acept,not furnished
Belo Horizonte,50,2,1,2,6,acept,not furnished
São Paulo,200,4,5,4,16,acept,not furnished
São Paulo,50,1,1,1,2,acept,not furnished
São Paulo,200,4,2,3,-,acept,furnished
São Paulo,67,2,2,1,1,acept,not furnished
São Paulo,62,3,2,1,8,not acept,not furnished
Rio de Janeiro,50,1,1,0,2,acept,furnished
Porto Alegre,77,2,2,2,3,acept,not furnished
São Paulo,220,3,3,2,13,acept,not furnished
São Paulo,253,4,5,3,1,acept,not furnished
São Paulo,500,4,4,3,-,acept,not furnished
São Paulo,35,1,1,0,6,acept,not furnished
São Paulo,23,1,1,1,26,acept,not furnished
São Paulo,325,4,3,2,3,acept,not furnished
Porto Alegre,28,1,1,0,4,acept,not furnished
Rio de Janeiro,76,2,2,1,9,acept,furnished
São Paulo,70,2,1,1,7,acept,not furnished
São Paulo,120,3,4,2,5,acept,furnished
Rio de Janeiro,180,3,3,0,-,acept,not furnished
São Paulo,350,4,3,4,-,acept,not furnished
Porto Alegre,60,1,1,0,2,acept,not furnished
Porto Alegre,87,2,2,2,19,acept,not furnished
São Paulo,80,3,1,0,-,not acept,not furnished
São Paulo,90,3,1,0,-,acept,not furnished
São Paulo,200,4,3,8,-,acept,not furnished
São Paulo,260,4,4,3,13,acept,not furnished
Rio de Janeiro,100,3,1,2,1,acept,not furnished
São Paulo,50,2,2,0,1,not acept,not furnished
São Paulo,800,4,7,8,-,acept,not furnished
São Paulo,75,1,2,2,19,acept,not furnished
São Paulo,213,3,2,0,9,acept,not furnished
São Paulo,70,2,2,1,-,acept,not furnished
Porto Alegre,55,2,1,0,2,acept,not furnished
São Paulo,264,3,3,2,16,acept,furnished
Belo Horizonte,66,2,1,1,1,not acept,not furnished
Campinas,269,4,5,0,12,acept,not furnished
Rio de Janeiro,50,2,1,1,5,acept,furnished
São Paulo,400,4,5,5,-,acept,not furnished
São Paulo,38,1,1,0,3,not acept,not furnished
Rio de Janeiro,50,2,1,0,5,acept,furnished
São Paulo,84,1,1,1,1,not acept,not furnished
Campinas,40,1,1,1,1,not acept,furnished
São Paulo,50,1,1,0,-,not acept,not furnished
Porto Alegre,27,1,1,0,2,acept,not furnished
São Paulo,90,2,2,0,1,acept,furnished
Porto Alegre,50,1,1,0,2,not acept,not furnished
São Paulo,220,3,4,1,6,acept,not furnished
São Paulo,106,3,3,1,2,acept,not furnished
São Paulo,65,2,1,2,7,acept,not furnished
Porto Alegre,70,2,1,1,2,acept,not furnished
São Paulo,260,2,3,4,-,acept,not furnished
Campinas,60,2,1,1,3,acept,not furnished
Rio de Janeiro,80,2,2,0,3,acept,not furnished
São Paulo,132,3,2,3,-,acept,not furnished
São Paulo,85,2,2,2,7,not acept,not furnished
São Paulo,600,4,6,6,-,acept,not furnished
São Paulo,87,2,2,1,5,acept,not furnished
São Paulo,78,3,1,2,7,acept,furnished
São Paulo,188,3,3,3,4,acept,furnished
Rio de Janeiro,38,1,1,1,3,acept,not furnished
São Paulo,209,4,4,5,10,acept,furnished
São Paulo,280,4,5,4,14,acept,not furnished
São Paulo,420,4,4,4,9,acept,not furnished
Belo Horizonte,68,2,1,0,-,acept,not furnished
Porto Alegre,46,1,1,0,5,acept,not furnished
Porto Alegre,63,2,1,2,6,acept,furnished
São Paulo,220,3,3,3,-,acept,not furnished
São Paulo,150,3,4,2,-,acept,not furnished
São Paulo,98,2,2,2,29,acept,not furnished
Rio de Janeiro,119,3,3,2,7,acept,not furnished
Porto Alegre,40,1,1,0,2,not acept,not furnished
Porto Alegre,110,3,1,1,2,acept,not furnished
São Paulo,50,2,3,0,-,not acept,not furnished
São Paulo,25,1,1,0,23,acept,not furnished
São Paulo,75,2,1,1,5,not acept,not furnished
São Paulo,50,2,1,1,7,not acept,not furnished
Rio de Janeiro,152,4,2,1,7,acept,furnished
São Paulo,330,4,2,8,-,not acept,not furnished
São Paulo,251,3,2,2,-,acept,not furnished
Rio de Janeiro,120,3,3,2,6,acept,not furnished
São Paulo,64,1,2,2,15,acept,not furnished
Porto Alegre,180,3,2,1,3,not acept,not furnished
Belo Horizonte,61,3,1,1,2,acept,not furnished
Campinas,62,2,1,0,2,acept,not furnished
São Paulo,35,1,1,1,1,not acept,furnished
Belo Horizonte,60,2,1,1,2,acept,not furnished
Porto Alegre,58,1,2,2,2,acept,not furnished
São Paulo,146,3,5,2,8,acept,not furnished
São Paulo,176,3,4,3,4,acept,not furnished
São Paulo,220,6,2,2,-,acept,not furnished
Belo Horizonte,47,2,1,1,4,not acept,not furnished
São Paulo,30,1,1,0,-,not acept,not furnished
São Paulo,103,3,2,0,14,acept,not furnished
Rio de Janeiro,600,7,6,2,-,not acept,furnished
Rio de Janeiro,200,4,5,3,-,acept,not furnished
São Paulo,34,1,1,0,10,acept,not furnished
São Paulo,95,2,1,1,-,acept,not furnished
São Paulo,215,4,4,2,16,not acept,furnished
Rio de Janeiro,60,2,1,1,3,not acept,not furnished
Rio de Janeiro,145,3,2,1,3,acept,not furnished
São Paulo,102,3,2,2,-,acept,not furnished
São Paulo,44,1,1,1,19,acept,furnished
São Paulo,90,2,2,0,3,acept,not furnished
São Paulo,180,4,3,1,4,acept,furnished
Porto Alegre,123,3,3,1,2,not acept,not furnished
São Paulo,54,2,2,1,8,not acept,not furnished
São Paulo,50,1,1,1,6,acept,furnished
São Paulo,100,2,1,1,-,acept,not furnished
Porto Alegre,36,1,1,1,17,acept,not furnished
São Paulo,92,1,2,1,6,acept,not furnished
São Paulo,68,2,2,1,7,acept,not furnished
São Paulo,94,3,3,3,4,acept,furnished
Rio de Janeiro,25,1,1,0,-,acept,not furnished
São Paulo,60,2,2,0,-,acept,not furnished
São Paulo,321,5,3,5,-,acept,not furnished
São Paulo,116,3,4,2,1,acept,furnished
São Paulo,40,1,1,0,-,not acept,not furnished
Porto Alegre,100,3,2,2,-,acept,not furnished
São Paulo,70,2,1,0,-,acept,not furnished
São Paulo,48,1,1,1,2,acept,furnished
São Paulo,115,3,5,2,10,acept,not furnished
São Paulo,90,1,1,1,12,acept,not furnished
Rio de Janeiro,89,2,2,1,2,acept,not furnished
Porto Alegre,30,1,1,0,3,acept,not furnished
Porto Alegre,39,1,1,0,11,acept,not furnished
São Paulo,42,1,1,1,27,not acept,furnished
São Paulo,400,4,5,5,-,acept,not furnished
São Paulo,47,1,2,1,2,acept,furnished
São Paulo,124,2,2,2,-,acept,furnished
Campinas,120,3,2,3,-,acept,not furnished
Campinas,45,1,1,0,-,not acept,not furnished
São Paulo,270,3,2,4,-,acept,not furnished
São Paulo,108,3,2,1,10,acept,not furnished
São Paulo,128,3,4,4,13,not acept,furnished
Rio de Janeiro,179,4,2,0,9,acept,not furnished
Belo Horizonte,140,4,2,2,3,acept,not furnished
Belo Horizonte,27,1,1,0,1,not acept,furnished
São Paulo,250,3,4,2,16,acept,not furnished
Porto Alegre,350,4,3,3,-,acept,furnished
São Paulo,208,3,2,2,3,acept,not furnished
São Paulo,80,3,1,0,-,not acept,not furnished
São Paulo,34,1,1,1,4,acept,not furnished
São Paulo,150,4,3,0,2,acept,not furnished
São Paulo,127,3,3,2,17,not acept,furnished
São Paulo,296,4,5,2,-,acept,not furnished
São Paulo,61,1,1,0,1,not acept,furnished
São Paulo,375,4,4,3,19,acept,furnished
São Paulo,370,5,4,3,-,acept,not furnished
Porto Alegre,30,1,1,0,2,acept,furnished
São Paulo,480,5,7,5,19,acept,not furnished
São Paulo,33,1,1,1,18,not acept,furnished
Rio de Janeiro,84,3,1,0,1,not acept,not furnished
São Paulo,340,8,5,4,-,acept,not furnished
Porto Alegre,97,3,3,3,5,acept,not furnished
Rio de Janeiro,110,3,2,1,8,acept,not furnished
Belo Horizonte,77,3,3,2,2,acept,furnished
Rio de Janeiro,105,3,2,1,4,acept,not furnished
São Paulo,33,1,1,1,1,not acept,furnished
São Paulo,25,1,1,0,5,acept,not furnished
São Paulo,130,2,2,2,-,acept,furnished
São Paulo,480,4,7,5,-,acept,not furnished
São Paulo,240,3,3,3,11,acept,furnished
Rio de Janeiro,80,2,2,1,8,acept,not furnished
São Paulo,50,2,1,2,1,not acept,not furnished
Belo Horizonte,32,1,1,0,9,not acept,not furnished
Belo Horizonte,48,2,1,1,2,acept,not furnished
São Paulo,90,3,3,1,-,acept,not furnished
Rio de Janeiro,30,1,1,0,14,acept,furnished
Porto Alegre,75,2,2,1,4,acept,not furnished
Porto Alegre,59,2,2,1,2,acept,not furnished
São Paulo,25,1,1,0,2,not acept,furnished
Campinas,140,4,3,2,2,acept,not furnished
São Paulo,100,2,1,1,11,acept,not furnished
Campinas,23,1,1,0,-,not acept,furnished
São Paulo,124,3,2,1,4,not acept,furnished
São Paulo,84,2,3,2,32,not acept,furnished
São Paulo,69,2,2,1,21,acept,not furnished
Belo Horizonte,100,3,1,0,-,acept,not furnished
São Paulo,70,1,2,1,3,acept,not furnished
Belo Horizonte,88,3,2,1,3,acept,not furnished
Belo Horizonte,465,7,7,2,-,acept,furnished
São Paulo,90,3,2,2,1,acept,not furnished
São Paulo,120,3,3,1,5,acept,not furnished
São Paulo,277,3,4,2,17,acept,not furnished
São Paulo,270,4,6,3,-,acept,not furnished
Porto Alegre,216,3,2,1,23,acept,not furnished
Campinas,150,1,2,0,-,acept,not furnished
São Paulo,360,4,7,5,7,acept,not furnished
Belo Horizonte,110,2,4,2,5,acept,not furnished
Porto Alegre,50,2,1,1,3,acept,furnished
São Paulo,98,2,2,2,24,acept,furnished
São Paulo,190,3,3,3,4,not acept,furnished
São Paulo,35,1,1,1,9,acept,not furnished
São Paulo,350,3,5,3,-,acept,not furnished
Belo Horizonte,950,6,6,2,-,acept,not furnished
São Paulo,213,4,5,4,18,acept,not furnished
Rio de Janeiro,100,3,2,1,7,not acept,not furnished
São Paulo,240,4,4,4,5,acept,not furnished
Belo Horizonte,77,2,1,1,2,acept,furnished
São Paulo,217,3,4,4,17,acept,furnished
São Paulo,218,4,4,3,10,acept,furnished
São Paulo,31,2,1,0,2,acept,not furnished
São Paulo,380,4,7,7,15,acept,not furnished
Rio de Janeiro,40,1,2,0,7,acept,not furnished
São Paulo,48,1,1,1,12,acept,furnished
São Paulo,55,1,1,0,-,acept,not furnished
São Paulo,270,3,3,3,-,acept,not furnished
Rio de Janeiro,80,2,3,1,12,acept,furnished
Rio de Janeiro,50,1,1,0,-,acept,not furnished
São Paulo,38,2,1,0,5,acept,furnished
Belo Horizonte,320,4,5,4,6,not acept,not furnished
São Paulo,500,3,6,0,-,acept,not furnished
Rio de Janeiro,110,3,3,0,-,acept,not furnished
São Paulo,300,3,3,2,-,acept,not furnished
São Paulo,30,1,1,0,-,not acept,not furnished
São Paulo,58,2,2,1,12,not acept,furnished
São Paulo,18,1,1,0,-,acept,not furnished
São Paulo,139,4,4,8,-,acept,not furnished
Rio de Janeiro,210,4,5,2,2,acept,not furnished
Porto Alegre,50,2,1,1,5,acept,not furnished
São Paulo,70,1,1,2,9,acept,furnished
São Paulo,36,1,1,0,4,acept,not furnished
São Paulo,48,1,1,0,-,acept,not furnished
Belo Horizonte,92,3,2,1,1,acept,not furnished
Rio de Janeiro,189,3,2,0,3,acept,not furnished
Porto Alegre,38,1,1,1,9,acept,not furnished
São Paulo,351,3,4,2,17,not acept,furnished
Rio de Janeiro,64,2,1,1,4,acept,not furnished
São Paulo,31,1,1,1,11,acept,not furnished
São Paulo,90,3,2,2,3,acept,not furnished
São Paulo,40,1,1,0,6,acept,not furnished
São Paulo,180,3,4,4,4,acept,not furnished
São Paulo,64,3,1,1,5,acept,not furnished
São Paulo,190,3,4,3,1,acept,not furnished
São Paulo,400,3,3,4,-,acept,not furnished
Rio de Janeiro,180,4,5,3,4,acept,not furnished
São Paulo,73,1,1,0,8,acept,furnished
São Paulo,64,2,2,2,4,acept,not furnished
São Paulo,65,3,1,1,6,acept,not furnished
São Paulo,400,4,5,4,7,acept,not furnished
São Paulo,48,2,1,1,6,not acept,furnished
São Paulo,40,1,1,1,14,not acept,not furnished
Porto Alegre,61,2,1,0,3,not acept,not furnished
Rio de Janeiro,85,2,1,0,1,acept,not furnished
Belo Horizonte,235,4,3,1,-,acept,not furnished
São Paulo,347,4,5,4,5,acept,furnished
Rio de Janeiro,25,1,1,0,2,acept,not furnished
Rio de Janeiro,85,2,2,1,2,acept,not furnished
São Paulo,103,3,3,2,3,acept,furnished
São Paulo,159,3,3,2,-,not acept,not furnished
São Paulo,42,1,1,1,9,acept,not furnished
São Paulo,100,3,2,1,12,acept,not furnished
São Paulo,111,1,2,2,9,acept,not furnished
Porto Alegre,40,1,1,1,2,acept,furnished
Campinas,92,3,2,3,1,acept,furnished
Rio de Janeiro,480,5,6,4,3,acept,not furnished
Belo Horizonte,55,2,2,2,3,acept,not furnished
Belo Horizonte,24,1,1,1,7,not acept,not furnished
São Paulo,50,1,1,1,-,not acept,not furnished
Rio de Janeiro,80,2,1,0,9,acept,not furnished
São Paulo,230,3,2,0,1,acept,not furnished
Porto Alegre,72,2,1,0,1,acept,not furnished
Porto Alegre,90,2,1,0,1,acept,not furnished
Belo Horizonte,22,1,1,0,1,not acept,furnished
São Paulo,455,4,5,4,5,acept,not furnished
São Paulo,140,3,2,1,6,not acept,not furnished
Belo Horizonte,23,1,1,1,7,acept,not furnished
Porto Alegre,46,1,1,0,2,acept,not furnished
Campinas,70,1,1,1,2,acept,furnished
Belo Horizonte,150,5,3,0,-,acept,not furnished
Campinas,55,1,1,0,5,acept,not furnished
São Paulo,40,1,1,0,-,not acept,not furnished
São Paulo,91,2,1,1,1,acept,not furnished
São Paulo,140,2,1,3,-,acept,not furnished
São Paulo,50,1,1,0,1,acept,not furnished
Campinas,52,2,1,1,7,acept,not furnished
Rio de Janeiro,100,3,1,1,1,acept,not furnished
São Paulo,160,4,3,3,3,acept,not furnished
São Paulo,50,1,1,0,-,not acept,not furnished
Campinas,137,3,2,1,4,acept,not furnished
Porto Alegre,42,1,1,0,2,acept,not furnished
São Paulo,650,3,7,2,-,acept,not furnished
Rio de Janeiro,90,3,2,0,1,not acept,not furnished
Rio de Janeiro,30,1,1,0,9,acept,furnished
São Paulo,254,4,4,3,7,acept,furnished
São Paulo,40,1,1,1,5,not acept,not furnished
Rio de Janeiro,130,4,2,1,2,not acept,furnished
Campinas,128,3,3,2,1,acept,not furnished
São Paulo,78,2,1,3,-,acept,not furnished
Campinas,42,1,1,0,1,acept,not furnished
Campinas,140,3,3,2,8,acept,not furnished
São Paulo,46,1,1,0,3,acept,not furnished
Campinas,50,2,1,1,3,acept,not furnished
São Paulo,54,1,1,1,13,not acept,not furnished
São Paulo,40,1,1,1,13,acept,not furnished
São Paulo,50,2,1,1,5,acept,not furnished
São Paulo,75,3,1,1,1,not acept,not furnished
São Paulo,472,3,2,4,-,acept,not furnished
Porto Alegre,360,5,3,6,-,acept,furnished
São Paulo,308,4,4,3,1,acept,not furnished
São Paulo,50,1,1,1,8,not acept,furnished
São Paulo,540,4,5,5,13,acept,not furnished
São Paulo,321,3,5,2,-,acept,furnished
São Paulo,70,3,2,1,3,acept,not furnished
Campinas,130,3,2,2,4,acept,furnished
São Paulo,170,3,2,2,-,acept,not furnished
São Paulo,60,2,2,1,11,not acept,furnished
Rio de Janeiro,45,1,1,0,4,not acept,furnished
Belo Horizonte,60,2,1,1,1,acept,not furnished
São Paulo,340,5,4,2,7,acept,not furnished
Porto Alegre,58,2,1,0,2,acept,not furnished
São Paulo,195,4,3,3,7,not acept,not furnished
São Paulo,100,2,4,0,1,acept,not furnished
São Paulo,50,1,1,0,-,acept,not furnished
Campinas,54,2,1,1,3,acept,not furnished
Belo Horizonte,55,2,1,1,3,acept,not furnished
São Paulo,48,1,1,2,1,acept,furnished
São Paulo,58,2,1,1,6,acept,not furnished
São Paulo,200,3,4,3,19,acept,furnished
Campinas,77,3,1,2,3,acept,not furnished
Belo Horizonte,72,2,1,1,9,acept,not furnished
São Paulo,50,2,1,2,8,not acept,not furnished
Rio de Janeiro,95,2,2,1,11,acept,not furnished
São Paulo,130,3,2,0,1,acept,furnished
Rio de Janeiro,30,1,1,0,6,not acept,not furnished
São Paulo,300,4,3,4,9,acept,not furnished
Rio de Janeiro,95,3,2,1,3,acept,not furnished
São Paulo,80,3,1,1,1,acept,not furnished
São Paulo,310,3,3,2,16,not acept,not furnished
Porto Alegre,170,3,2,0,3,acept,furnished
Rio de Janeiro,46,2,1,0,9,not acept,not furnished
Rio de Janeiro,97,3,2,0,5,acept,not furnished
São Paulo,130,3,2,1,4,not acept,furnished
Rio de Janeiro,30,1,1,0,2,not acept,not furnished
São Paulo,40,1,1,1,11,not acept,not furnished
São Paulo,90,3,2,2,6,not acept,furnished
