Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília,Aluguel
São Paulo,140,5,2,1,1,acept,furnished,4250
Rio de Janeiro,105,2,2,1,10,acept,not furnished,3464
Porto Alegre,110,3,3,0,1,acept,not furnished,3773
São Paulo,320,4,4,0,20,acept,not furnished,7973
São Paulo,180,3,2,1,2,acept,not furnished,11310
Campinas,113,3,3,2,4,acept,not furnished,4853
São Paulo,380,7,7,6,-,acept,not furnished,6305
Belo Horizonte,350,5,5,2,5,acept,furnished,5082
São Paulo,140,3,4,2,2,acept,not furnished,4449
São Paulo,255,3,4,2,10,acept,furnished,9177
Rio de Janeiro,70,2,2,1,-,acept,not furnished,2184
Campinas,50,2,1,1,3,acept,not furnished,1485
São Paulo,35,1,1,0,3,acept,furnished,3072
São Paulo,70,4,3,0,-,acept,not furnished,3823
São Paulo,92,1,2,1,6,acept,not furnished,3875
São Paulo,46,2,1,0,5,acept,not furnished,1216
São Paulo,75,3,1,1,-,acept,not furnished,2508
Porto Alegre,115,3,2,2,4,acept,not furnished,5996
Campinas,60,3,2,1,3,acept,not furnished,1313
São Paulo,20,1,1,0,3,not acept,furnished,3399
São Paulo,42,1,1,1,7,acept,furnished,3502
Rio de Janeiro,400,5,4,2,8,acept,not furnished,11140
São Paulo,144,3,4,3,4,acept,furnished,8737
São Paulo,210,4,5,2,1,acept,furnished,12410
São Paulo,100,3,3,1,-,acept,not furnished,2437
São Paulo,76,3,1,1,4,acept,not furnished,3999
São Paulo,71,3,4,0,-,acept,not furnished,4061
Rio de Janeiro,330,4,4,2,21,acept,not furnished,17490
São Paulo,90,3,3,2,12,not acept,not furnished,4442
São Paulo,280,4,4,4,1,acept,furnished,17440
Porto Alegre,44,1,1,0,5,acept,not furnished,1593
São Paulo,200,2,3,2,-,acept,not furnished,4257
Campinas,67,3,1,1,9,acept,not furnished,1689
Belo Horizonte,80,3,2,2,301,acept,not furnished,3549
São Paulo,26,1,1,0,6,acept,not furnished,1817
Rio de Janeiro,154,4,5,2,3,acept,furnished,14640
São Paulo,53,2,1,1,8,acept,not furnished,1698
São Paulo,127,2,3,2,1,acept,furnished,5137
São Paulo,180,3,2,2,6,acept,not furnished,6656
São Paulo,40,1,1,1,3,acept,furnished,4040
Rio de Janeiro,90,2,2,1,4,acept,not furnished,3063
Rio de Janeiro,180,3,3,0,7,acept,furnished,8992
Rio de Janeiro,40,1,1,0,8,acept,furnished,2526
São Paulo,104,2,2,2,8,acept,not furnished,6383
Rio de Janeiro,140,3,1,1,3,acept,not furnished,5343
Campinas,220,3,5,3,4,not acept,furnished,10420
São Paulo,46,2,1,1,5,not acept,not furnished,1820
São Paulo,67,2,1,0,3,acept,not furnished,1325
Rio de Janeiro,35,1,1,0,3,acept,not furnished,832
São Paulo,130,2,2,2,3,acept,not furnished,5073
Campinas,200,5,2,4,-,acept,not furnished,3518
Rio de Janeiro,87,2,2,1,8,acept,not furnished,4905
São Paulo,70,3,1,1,1,acept,not furnished,3173
Belo Horizonte,58,2,2,2,1,acept,not furnished,2127
São Paulo,56,2,1,0,3,acept,not furnished,2114
Campinas,200,2,1,1,-,acept,not furnished,1682
São Paulo,140,2,3,1,-,acept,not furnished,4058
São Paulo,80,2,3,1,5,acept,not furnished,1908
Belo Horizonte,110,2,2,2,4,not acept,not furnished,1734
São Paulo,42,1,1,0,13,not acept,not furnished,3196
São Paulo,41,1,1,1,10,not acept,not furnished,4545
Rio de Janeiro,140,3,2,1,10,acept,not furnished,5622
São Paulo,85,2,1,1,-,acept,not furnished,1472
Porto Alegre,58,2,1,2,8,acept,furnished,2676
São Paulo,236,4,5,4,1,not acept,furnished,19280
Rio de Janeiro,142,3,2,1,1,acept,furnished,4884
São Paulo,92,3,1,1,3,acept,not furnished,1965
Campinas,48,2,1,1,5,acept,not furnished,1342
Belo Horizonte,155,4,1,2,4,acept,not furnished,4194
São Paulo,100,2,1,1,10,not acept,furnished,4266
São Paulo,50,2,1,2,9,not acept,not furnished,2961
São Paulo,216,4,3,4,9,acept,not furnished,6087
Belo Horizonte,200,4,4,4,4,acept,not furnished,7618
São Paulo,42,1,1,1,21,not acept,furnished,5140
São Paulo,90,3,2,0,8,acept,furnished,3520
Belo Horizonte,156,7,2,1,3,acept,not furnished,2767
Belo Horizonte,300,4,2,2,3,acept,not furnished,10360
Porto Alegre,18,1,1,0,16,acept,not furnished,1206
Porto Alegre,41,1,2,1,6,acept,not furnished,2903
Rio de Janeiro,25,1,1,0,4,acept,not furnished,608
São Paulo,254,3,3,3,11,acept,furnished,18860
São Paulo,40,1,1,0,-,acept,not furnished,1167
São Paulo,350,3,4,2,-,acept,furnished,7613
São Paulo,31,1,1,1,9,not acept,furnished,5094
Porto Alegre,64,2,2,2,7,acept,not furnished,2108
Campinas,200,4,3,2,1,acept,not furnished,4803
Porto Alegre,101,3,2,2,8,acept,furnished,4945
Rio de Janeiro,28,1,1,0,3,acept,furnished,1814
Belo Horizonte,70,2,1,1,2,acept,not furnished,1759
São Paulo,130,2,1,0,1,acept,not furnished,2837
Rio de Janeiro,90,3,2,0,3,acept,not furnished,2767
São Paulo,275,3,5,6,-,acept,furnished,13700
São Paulo,250,4,3,2,-,acept,not furnished,4434
Belo Horizonte,210,3,3,3,1,acept,not furnished,4898
São Paulo,80,2,2,0,9,not acept,not furnished,3229
São Paulo,500,4,4,0,-,acept,not furnished,6558
São Paulo,180,3,2,1,-,not acept,not furnished,3209
São Paulo,130,3,3,2,3,acept,not furnished,5483
Rio de Janeiro,80,2,2,1,5,acept,not furnished,2406
São Paulo,192,3,4,3,5,acept,not furnished,10100
São Paulo,150,3,2,3,-,not acept,not furnished,2538
Rio de Janeiro,160,3,2,1,11,acept,not furnished,6896
São Paulo,170,4,4,3,12,acept,furnished,6293
São Paulo,40,1,1,0,2,acept,not furnished,1353
São Paulo,685,4,3,5,11,acept,not furnished,20250
São Paulo,100,2,2,0,-,acept,not furnished,2758
São Paulo,96,2,2,2,25,not acept,furnished,10320
Campinas,35,1,1,1,7,acept,not furnished,1519
São Paulo,240,3,3,3,11,acept,furnished,14330
São Paulo,72,2,2,1,4,acept,not furnished,3034
Belo Horizonte,59,2,2,0,2,not acept,furnished,2041
Porto Alegre,40,1,1,1,10,acept,furnished,1428
Belo Horizonte,137,3,2,0,2,not acept,not furnished,2027
Rio de Janeiro,50,2,1,1,2,not acept,furnished,2658
Rio de Janeiro,300,5,4,5,-,acept,not furnished,4377
São Paulo,130,3,1,1,-,acept,not furnished,5685
Porto Alegre,50,1,1,1,7,acept,not furnished,1062
São Paulo,122,2,1,2,-,acept,not furnished,2463
São Paulo,105,3,2,1,2,acept,not furnished,4722
São Paulo,155,3,2,3,4,acept,furnished,15120
Porto Alegre,58,2,1,0,1,acept,furnished,1319
São Paulo,120,1,2,2,4,acept,not furnished,8104
Porto Alegre,60,1,1,0,2,not acept,not furnished,1234
Rio de Janeiro,45,1,1,1,5,acept,furnished,3981
São Paulo,71,3,2,2,11,acept,furnished,2940
São Paulo,200,5,3,2,1,acept,not furnished,10850
São Paulo,182,3,2,3,12,acept,not furnished,15250
Rio de Janeiro,25,1,1,0,3,not acept,not furnished,2007
Porto Alegre,129,3,3,0,2,acept,not furnished,5881
Rio de Janeiro,60,1,1,0,1,acept,not furnished,1363
São Paulo,168,4,3,3,5,acept,not furnished,16100
São Paulo,96,3,2,2,14,not acept,furnished,10020
São Paulo,120,2,1,1,-,not acept,not furnished,3326
Belo Horizonte,503,5,5,4,-,acept,not furnished,6506
São Paulo,367,3,5,3,10,acept,furnished,10980
Campinas,500,4,4,3,5,not acept,not furnished,20560
Porto Alegre,52,2,1,1,5,acept,not furnished,1559
São Paulo,98,3,2,2,1,acept,not furnished,3566
São Paulo,85,2,2,0,8,acept,furnished,5813
São Paulo,49,2,1,1,10,not acept,not furnished,2427
Belo Horizonte,125,3,2,0,7,acept,not furnished,4582
Rio de Janeiro,136,3,2,2,7,acept,furnished,11130
São Paulo,49,2,1,1,17,not acept,furnished,1901
São Paulo,35,1,1,0,7,not acept,not furnished,1681
Rio de Janeiro,400,4,4,2,-,acept,not furnished,13640
São Paulo,90,2,2,1,3,acept,not furnished,4089
Campinas,55,2,1,1,1,acept,not furnished,1394
São Paulo,350,5,5,4,8,not acept,not furnished,11710
Rio de Janeiro,22,1,1,0,2,not acept,not furnished,1447
Porto Alegre,38,1,1,1,5,acept,not furnished,1388
Porto Alegre,110,3,2,0,3,acept,furnished,2793
São Paulo,50,1,1,1,2,acept,not furnished,3054
Belo Horizonte,75,2,1,1,3,not acept,not furnished,1447
Belo Horizonte,210,3,4,3,5,not acept,furnished,12640
São Paulo,80,2,1,1,6,acept,not furnished,3078
São Paulo,98,2,1,1,1,acept,not furnished,2481
Belo Horizonte,77,3,3,2,2,acept,furnished,3546
Belo Horizonte,290,4,5,4,-,acept,not furnished,6599
Porto Alegre,62,2,1,1,7,not acept,not furnished,1937
São Paulo,275,4,4,3,9,acept,not furnished,11440
Belo Horizonte,95,2,1,1,3,acept,not furnished,1780
São Paulo,250,3,4,4,2,not acept,furnished,14160
São Paulo,80,1,1,0,-,acept,not furnished,1441
São Paulo,80,2,1,0,-,acept,not furnished,1359
Porto Alegre,59,1,1,1,12,acept,not furnished,2600
São Paulo,70,2,2,1,-,acept,not furnished,2136
São Paulo,44,1,1,0,1,not acept,not furnished,1246
Campinas,58,2,1,1,1,acept,furnished,2891
Campinas,65,2,1,1,1,not acept,not furnished,1314
São Paulo,500,2,2,1,-,acept,not furnished,2302
Rio de Janeiro,104,3,2,2,4,acept,furnished,8977
São Paulo,26,1,1,0,3,acept,not furnished,3746
São Paulo,40,1,1,0,-,not acept,not furnished,1317
Belo Horizonte,758,5,4,5,3,acept,not furnished,25580
Campinas,143,3,3,2,6,acept,not furnished,5192
Belo Horizonte,65,2,2,3,7,acept,not furnished,1946
São Paulo,54,2,1,1,5,not acept,not furnished,1566
São Paulo,90,2,1,0,-,acept,not furnished,1260
Belo Horizonte,184,3,3,1,2,acept,not furnished,1748
São Paulo,69,3,2,0,7,acept,furnished,2760
Belo Horizonte,200,3,3,1,2,acept,not furnished,2229
São Paulo,95,3,3,2,16,not acept,furnished,4211
São Paulo,160,3,3,2,-,acept,not furnished,4777
Belo Horizonte,2000,3,3,2,2,acept,furnished,8267
São Paulo,90,3,1,2,6,acept,not furnished,5702
Belo Horizonte,100,2,1,1,1,not acept,not furnished,2089
São Paulo,130,3,2,0,12,acept,not furnished,5752
São Paulo,225,2,2,3,-,acept,not furnished,5323
Belo Horizonte,50,2,1,1,1,acept,not furnished,1091
São Paulo,660,4,6,4,-,acept,not furnished,10870
São Paulo,67,2,2,1,1,acept,furnished,2980
Belo Horizonte,114,2,2,1,3,acept,not furnished,3972
Rio de Janeiro,40,2,2,0,2,acept,not furnished,1784
São Paulo,126,3,4,3,6,acept,not furnished,6320
Belo Horizonte,32,1,1,0,-,not acept,furnished,1817
Campinas,89,2,1,1,3,acept,not furnished,1769
Porto Alegre,225,3,3,2,3,acept,not furnished,5148
São Paulo,54,2,2,1,11,acept,not furnished,3980
Rio de Janeiro,68,2,1,0,5,acept,not furnished,2006
Rio de Janeiro,170,2,2,1,7,acept,not furnished,6519
Campinas,76,3,2,2,3,not acept,not furnished,2798
São Paulo,52,1,1,1,15,not acept,furnished,6566
Rio de Janeiro,73,2,1,1,4,acept,not furnished,1960
Porto Alegre,67,3,2,2,4,acept,not furnished,2883
São Paulo,288,4,5,4,7,acept,not furnished,10830
São Paulo,142,3,2,2,8,acept,not furnished,3042
São Paulo,200,3,4,4,8,acept,furnished,8331
São Paulo,248,3,4,4,-,acept,not furnished,10670
Belo Horizonte,75,2,2,1,3,acept,not furnished,1686
São Paulo,70,2,1,0,12,acept,furnished,2956
Rio de Janeiro,120,3,2,1,10,acept,furnished,5269
Belo Horizonte,80,1,1,0,11,acept,not furnished,1364
São Paulo,40,1,1,1,13,not acept,furnished,3524
São Paulo,120,3,2,2,-,acept,not furnished,5326
São Paulo,103,2,1,0,-,acept,not furnished,1400
Rio de Janeiro,257,4,3,2,3,acept,furnished,7808
São Paulo,20,1,1,1,3,not acept,furnished,3078
São Paulo,137,3,3,3,4,acept,furnished,11840
São Paulo,72,2,1,1,3,acept,not furnished,2192
Porto Alegre,700,8,8,4,-,acept,not furnished,12210
São Paulo,70,3,2,1,3,acept,not furnished,4872
Belo Horizonte,150,3,1,3,-,acept,not furnished,4308
São Paulo,65,2,2,1,4,acept,not furnished,2450
Belo Horizonte,22,1,1,0,3,not acept,furnished,1813
Porto Alegre,70,2,2,2,3,not acept,not furnished,2695
São Paulo,265,3,4,3,-,acept,furnished,3993
Belo Horizonte,22,1,1,1,1,not acept,not furnished,1292
São Paulo,32,1,1,1,15,acept,not furnished,2254
São Paulo,180,3,3,3,-,acept,not furnished,5311
Porto Alegre,148,3,2,2,3,acept,furnished,6416
São Paulo,204,4,5,3,10,not acept,not furnished,10420
São Paulo,108,3,2,2,5,acept,not furnished,5754
São Paulo,30,1,1,0,5,acept,furnished,2224
São Paulo,70,2,2,0,2,acept,furnished,7324
Belo Horizonte,75,3,2,1,1,acept,not furnished,1495
São Paulo,210,3,4,0,-,acept,furnished,4439
São Paulo,350,3,4,6,-,acept,not furnished,4742
São Paulo,48,1,1,1,3,acept,not furnished,4112
Porto Alegre,42,2,1,0,2,acept,not furnished,1105
Belo Horizonte,167,4,4,3,5,acept,not furnished,7304
Belo Horizonte,57,2,1,1,3,not acept,not furnished,1036
São Paulo,60,2,1,1,6,acept,furnished,3367
Campinas,75,3,2,1,3,not acept,not furnished,2769
São Paulo,95,2,2,1,-,acept,not furnished,2617
Rio de Janeiro,110,3,2,0,-,acept,not furnished,2091
Belo Horizonte,50,2,1,0,5,acept,not furnished,1012
São Paulo,190,3,3,4,-,acept,furnished,4569
São Paulo,22,1,1,0,6,not acept,not furnished,2355
Belo Horizonte,200,5,2,5,-,acept,not furnished,4202
Rio de Janeiro,309,4,5,4,7,acept,not furnished,9927
São Paulo,150,2,2,3,2,not acept,furnished,12760
Porto Alegre,25,1,1,0,-,acept,furnished,1296
São Paulo,84,2,2,1,14,acept,not furnished,6295
Campinas,660,5,5,4,-,acept,not furnished,7476
Rio de Janeiro,170,3,2,2,13,acept,furnished,3851
São Paulo,50,1,1,1,6,not acept,not furnished,3662
Belo Horizonte,75,2,2,2,6,not acept,furnished,5463
Campinas,55,2,1,1,1,acept,not furnished,1845
Belo Horizonte,40,1,1,1,2,not acept,furnished,983
São Paulo,121,3,3,1,12,acept,not furnished,3200
Porto Alegre,75,2,2,1,6,acept,not furnished,1921
Campinas,128,3,3,2,3,acept,not furnished,4564
São Paulo,250,4,4,2,17,acept,furnished,9177
São Paulo,198,5,5,2,1,acept,not furnished,5904
São Paulo,212,4,5,6,7,acept,not furnished,8475
Belo Horizonte,30,1,1,0,2,acept,not furnished,557
São Paulo,194,4,3,2,7,acept,not furnished,6280
São Paulo,90,2,2,1,-,acept,not furnished,2812
São Paulo,50,1,1,1,-,acept,not furnished,1117
São Paulo,100,3,2,1,4,acept,not furnished,8135
São Paulo,105,3,2,3,1,acept,not furnished,3727
Belo Horizonte,300,5,3,1,-,acept,not furnished,3999
Rio de Janeiro,200,4,2,1,8,not acept,furnished,5670
São Paulo,300,4,7,3,-,not acept,furnished,7227
São Paulo,127,3,2,1,10,acept,not furnished,7799
Rio de Janeiro,500,2,5,5,-,not acept,not furnished,1892
São Paulo,69,2,2,1,3,acept,not furnished,2246
Belo Horizonte,90,2,3,0,-,acept,not furnished,2124
São Paulo,71,1,1,1,11,acept,not furnished,4927
São Paulo,43,2,2,0,-,not acept,furnished,1843
São Paulo,70,2,2,2,1,acept,not furnished,2532
Rio de Janeiro,110,3,1,1,1,acept,not furnished,5810
São Paulo,165,3,3,3,2,acept,not furnished,5162
Belo Horizonte,120,3,2,2,4,not acept,not furnished,1951
Belo Horizonte,100,3,3,1,3,acept,not furnished,1719
São Paulo,29,1,1,0,18,acept,not furnished,2653
Rio de Janeiro,51,1,1,1,4,acept,not furnished,1979
Rio de Janeiro,50,1,1,0,4,not acept,not furnished,1827
Rio de Janeiro,77,2,2,1,1,acept,not furnished,4419
Campinas,55,2,1,1,4,acept,not furnished,1144
São Paulo,76,2,1,0,12,acept,not furnished,2286
Rio de Janeiro,97,3,2,0,5,acept,not furnished,3940
São Paulo,600,4,4,4,9,acept,not furnished,19380
São Paulo,73,2,1,1,8,acept,not furnished,1909
Campinas,650,4,7,5,-,acept,not furnished,8455
São Paulo,200,4,2,1,5,acept,not furnished,7507
São Paulo,54,1,1,1,13,acept,furnished,3168
São Paulo,450,5,5,4,-,not acept,not furnished,6144
São Paulo,60,2,2,1,7,acept,not furnished,2877
Belo Horizonte,67,2,2,2,7,not acept,not furnished,4078
São Paulo,90,3,2,2,2,acept,not furnished,3267
Campinas,184,4,3,4,-,acept,not furnished,3509
Porto Alegre,202,3,3,3,4,acept,furnished,9933
São Paulo,90,3,2,1,4,acept,not furnished,3085
São Paulo,210,4,5,3,12,acept,furnished,6817
São Paulo,50,1,1,0,-,not acept,not furnished,762
Porto Alegre,39,1,1,0,2,acept,furnished,920
São Paulo,245,3,5,4,3,acept,furnished,13650
São Paulo,400,3,3,1,3,acept,not furnished,14280
Belo Horizonte,150,4,4,2,6,acept,furnished,5059
Rio de Janeiro,273,4,4,2,5,acept,not furnished,13760
Rio de Janeiro,160,2,2,2,1,acept,furnished,10250
São Paulo,386,4,6,3,21,acept,not furnished,18780
São Paulo,190,3,2,1,6,acept,furnished,11700
Rio de Janeiro,50,2,2,1,5,acept,not furnished,1959
São Paulo,71,2,2,1,-,acept,not furnished,2257
São Paulo,70,2,1,0,-,acept,not furnished,1574
São Paulo,300,5,5,2,-,acept,not furnished,4281
Porto Alegre,92,2,2,1,2,acept,furnished,5386
São Paulo,110,3,2,1,10,acept,not furnished,5558
São Paulo,172,3,4,3,1,acept,not furnished,10520
Rio de Janeiro,40,1,1,0,3,acept,not furnished,997
São Paulo,50,2,3,0,-,not acept,not furnished,1851
São Paulo,94,3,3,2,1,acept,not furnished,3593
Belo Horizonte,70,2,1,1,-,acept,furnished,1423
Porto Alegre,483,4,4,0,4,acept,furnished,8139
Porto Alegre,180,4,2,2,3,acept,not furnished,3545
São Paulo,390,3,3,2,1,not acept,not furnished,9383
Belo Horizonte,140,3,2,1,11,not acept,furnished,4528
São Paulo,20,1,1,0,1,not acept,furnished,1975
Porto Alegre,367,3,4,4,8,not acept,not furnished,23250
São Paulo,100,1,2,2,1,acept,furnished,10190
São Paulo,400,3,4,4,-,acept,furnished,15230
São Paulo,73,2,1,1,2,acept,not furnished,2017
São Paulo,85,3,2,2,12,acept,not furnished,4358
São Paulo,210,4,2,2,-,acept,not furnished,8805
Campinas,60,2,1,1,-,acept,not furnished,1356
São Paulo,50,1,1,0,-,not acept,not furnished,1303
Porto Alegre,38,1,1,0,10,acept,not furnished,2199
São Paulo,79,2,2,2,18,not acept,furnished,7055
Belo Horizonte,84,3,2,0,3,acept,not furnished,1647
Rio de Janeiro,450,4,5,3,11,not acept,not furnished,11020
Campinas,145,4,3,2,8,acept,not furnished,7865
São Paulo,200,3,3,2,12,acept,not furnished,9000
São Paulo,400,5,4,3,-,acept,not furnished,10620
São Paulo,50,1,1,0,2,not acept,not furnished,880
Belo Horizonte,66,2,1,1,3,acept,not furnished,1239
Belo Horizonte,205,4,4,4,5,acept,not furnished,8471
São Paulo,35,1,1,0,6,acept,not furnished,1938
São Paulo,112,3,2,3,-,acept,not furnished,3382
Belo Horizonte,70,2,1,2,4,acept,not furnished,1081
São Paulo,375,4,4,3,-,acept,not furnished,6572
São Paulo,260,2,3,4,-,acept,not furnished,5725
Campinas,56,2,1,1,1,acept,not furnished,1126
São Paulo,52,1,1,0,3,acept,furnished,3767
Campinas,110,3,1,1,13,acept,not furnished,1997
São Paulo,97,2,2,0,27,not acept,furnished,11430
São Paulo,192,3,4,2,13,acept,not furnished,10210
São Paulo,84,3,3,2,15,acept,furnished,10490
Porto Alegre,400,4,4,6,-,acept,not furnished,7334
Porto Alegre,42,1,1,1,2,acept,not furnished,1213
São Paulo,242,3,4,2,2,acept,not furnished,7710
Porto Alegre,27,1,1,0,2,acept,not furnished,1150
São Paulo,204,4,3,1,2,acept,furnished,7851
Rio de Janeiro,70,2,2,1,11,acept,not furnished,2630
Belo Horizonte,135,4,2,1,2,acept,not furnished,2968
São Paulo,76,2,1,1,-,acept,not furnished,2076
Campinas,212,4,1,2,-,acept,not furnished,1611
Belo Horizonte,150,3,2,2,3,acept,not furnished,3080
Rio de Janeiro,68,2,1,1,5,acept,not furnished,1651
São Paulo,55,2,1,1,2,not acept,not furnished,1817
São Paulo,41,2,1,0,16,acept,not furnished,1486
Campinas,58,2,1,1,2,acept,not furnished,939
Rio de Janeiro,80,2,2,1,9,not acept,furnished,9353
Campinas,55,1,1,0,1,acept,not furnished,998
São Paulo,24,1,1,0,4,not acept,furnished,2986
Rio de Janeiro,290,4,4,0,-,acept,not furnished,15980
Rio de Janeiro,136,3,1,0,8,acept,furnished,5039
Belo Horizonte,110,3,2,0,-,acept,not furnished,2541
Rio de Janeiro,44,1,1,0,4,acept,not furnished,2440
São Paulo,418,2,4,3,17,not acept,not furnished,12350
Porto Alegre,55,1,1,0,14,acept,not furnished,1764
São Paulo,396,4,4,4,-,acept,not furnished,10900
São Paulo,37,1,1,1,8,acept,furnished,4631
São Paulo,50,1,1,0,3,acept,not furnished,3186
São Paulo,71,2,1,1,8,acept,not furnished,2968
São Paulo,250,5,5,0,-,acept,not furnished,4568
São Paulo,60,3,1,2,4,not acept,not furnished,1502
Rio de Janeiro,625,5,3,2,-,acept,not furnished,16480
São Paulo,100,1,2,2,-,not acept,not furnished,1726
São Paulo,52,2,1,1,8,acept,not furnished,3944
Belo Horizonte,20,1,1,0,6,not acept,not furnished,1563
Belo Horizonte,170,3,2,0,-,acept,not furnished,5402
São Paulo,318,4,6,4,-,not acept,not furnished,14990
São Paulo,150,3,2,5,-,acept,not furnished,2392
Rio de Janeiro,160,4,3,2,2,acept,not furnished,8205
Belo Horizonte,59,3,1,1,1,acept,not furnished,1195
Rio de Janeiro,30,1,1,0,8,not acept,furnished,1964
Rio de Janeiro,200,4,5,3,-,acept,not furnished,6450
São Paulo,240,3,3,5,1,acept,not furnished,6545
Campinas,55,1,1,1,1,not acept,not furnished,2859
Campinas,42,1,1,0,5,not acept,not furnished,1584
São Paulo,400,4,3,2,-,acept,not furnished,3833
Rio de Janeiro,150,4,3,2,-,acept,not furnished,5794
São Paulo,86,3,2,2,10,acept,furnished,3677
Rio de Janeiro,300,3,4,1,11,acept,not furnished,12180
São Paulo,84,3,1,1,6,acept,not furnished,2978
Campinas,37,1,1,1,7,not acept,not furnished,1284
Porto Alegre,45,1,1,1,1,not acept,not furnished,802
Belo Horizonte,400,4,2,2,-,not acept,not furnished,2615
Campinas,90,3,2,1,2,acept,not furnished,2192
São Paulo,100,3,3,4,-,not acept,not furnished,9922
São Paulo,110,3,2,0,1,acept,furnished,2712
Rio de Janeiro,37,1,1,0,10,acept,furnished,2637
São Paulo,100,1,2,1,13,not acept,not furnished,7945
São Paulo,37,1,1,1,1,not acept,furnished,3489
Rio de Janeiro,172,3,3,3,3,acept,not furnished,7865
Rio de Janeiro,480,3,4,1,3,acept,not furnished,13490
São Paulo,85,3,2,1,8,acept,not furnished,4752
Campinas,52,1,1,1,17,acept,furnished,2139
São Paulo,160,2,1,3,-,acept,not furnished,4061
São Paulo,134,3,3,3,8,acept,not furnished,4207
São Paulo,29,1,1,1,10,not acept,furnished,4789
São Paulo,110,3,2,1,7,acept,not furnished,2766
São Paulo,130,3,2,2,1,not acept,not furnished,5187
São Paulo,100,2,2,2,-,acept,not furnished,5036
Rio de Janeiro,80,2,2,1,12,acept,not furnished,2654
Belo Horizonte,42,2,1,1,4,acept,not furnished,938
Campinas,63,1,1,0,6,acept,furnished,2021
São Paulo,140,3,2,2,-,acept,not furnished,3474
Porto Alegre,280,5,4,8,-,acept,not furnished,10600
São Paulo,35,1,1,0,12,not acept,furnished,4028
Campinas,43,1,1,1,4,acept,furnished,2709
Porto Alegre,65,2,1,0,5,acept,not furnished,1447
São Paulo,315,3,5,2,14,not acept,not furnished,25510
Rio de Janeiro,80,2,1,0,10,not acept,not furnished,1811
Campinas,68,2,1,1,1,acept,not furnished,1990
Belo Horizonte,200,3,2,2,-,acept,not furnished,12570
São Paulo,750,7,6,5,-,acept,furnished,6447
São Paulo,600,4,6,6,-,acept,not furnished,14770
Belo Horizonte,350,5,5,3,3,not acept,not furnished,2779
São Paulo,55,2,1,1,11,acept,furnished,2165
São Paulo,500,3,6,0,-,acept,not furnished,8164
Belo Horizonte,800,8,7,4,-,acept,not furnished,15060
Porto Alegre,200,3,3,2,-,acept,not furnished,6263
Porto Alegre,50,1,1,0,1,acept,not furnished,740
São Paulo,67,2,1,1,13,not acept,not furnished,2489
São Paulo,29,1,1,1,4,not acept,furnished,2996
Rio de Janeiro,650,5,7,4,-,acept,furnished,23570
